correct_term,misspelling,term_type,status
gahabok,gahbok,symptom_root,active
gahabok,gahabuk,symptom_root,active
gahabok,gahaboc,symptom_root,active
gahabok,gahubok,symptom_root,active
gahabok,gahubg,symptom_root,active
gahubag,gahubg,symptom_root,active
gahubag,gahubak,symptom_root,active
gahubag,gahabag,symptom_root,active
gahubag,gahubeg,symptom_root,active
gahubag,gahubug,symptom_root,active
hubag,hubak,symptom_root,active
hubag,hubg,symptom_root,active
hubag,habag,symptom_root,active
hubag,hobag,symptom_root,active
habok,habuk,symptom_root,active
habok,haboc,symptom_root,active
habok,habog,symptom_root,active
namaga,namago,symptom_root,active
namaga,namaka,symptom_root,active
gasakit,gasaket,symptom_root,active
gasakit,gasakut,symptom_root,active
masakit,masaket,symptom_root,active
masakit,masakut,symptom_root,active
gakatol,gakatul,symptom_root,active
gakatol,kakatol,symptom_root,active
kakatol,kakatul,symptom_root,active
kakatol,gakatol,symptom_root,active
gapula,gapola,symptom_root,active
bilat,bilad,symptom_root,active
itlog,itlug,symptom_root,active
itlog,itlogg,symptom_root,active
itlug,itlog,symptom_root,active
ari,ary,symptom_root,active
ari,are,symptom_root,active
mata,mataa,symptom_root,active
kamot,kamut,symptom_root,active
dughan,dughan ko,symptom_root,active
dughan,dughang,symptom_root,active
ginahilanat,ginahilanat ko,symptom_root,active
ginahilanat,ginahilanat gid,symptom_root,active
mahamok,mahamoc,algorithmic,active
mahamok,mahamuk,algorithmic,active
gahabok,gahabog,algorithmic,active
mahamok,mahamog,algorithmic,active
abaga,abaka,algorithmic,active
bayag,bayak,algorithmic,active
galagas,galakas,algorithmic,active
ginkagat,ginkakat,algorithmic,active
nag-uyam,nak-uyam,algorithmic,active
nagadugo,nakadugo,algorithmic,active
nagalagas,nakalagas,algorithmic,active
nagdugo,nakdugo,algorithmic,active
nagsuka,naksuka,algorithmic,active
naguyam,nakuyam,algorithmic,active
nasumbag,nasumbak,algorithmic,active
abaga,abuga,algorithmic,active
bayag,bayug,algorithmic,active
galagas,galugas,algorithmic,active
ginkagat,ginkugat,algorithmic,active
hubag,hubug,algorithmic,active
nag-uyam,nug-uyam,algorithmic,active
nagadugo,nugadugo,algorithmic,active
nagalagas,nugalagas,algorithmic,active
nagdugo,nugdugo,algorithmic,active
nagsuka,nugsuka,algorithmic,active
naguyam,nuguyam,algorithmic,active
namaga,namuga,algorithmic,active
nasumbag,nasumbug,algorithmic,active
abaga,abega,algorithmic,active
bayag,bayeg,algorithmic,active
galagas,galegas,algorithmic,active
ginkagat,ginkegat,algorithmic,active
hubag,hubeg,algorithmic,active
nag-uyam,neg-uyam,algorithmic,active
nagadugo,negadugo,algorithmic,active
nagalagas,negalagas,algorithmic,active
nagdugo,negdugo,algorithmic,active
nagsuka,negsuka,algorithmic,active
naguyam,neguyam,algorithmic,active
namaga,namega,algorithmic,active
nasumbag,nasumbeg,algorithmic,active
gahubag,gahobag,algorithmic,active
ginauubo,ginauobo,algorithmic,active
ginauubo,ginauabo,algorithmic,active
gahubag,gahupag,algorithmic,active
ginauubo,ginauupo,algorithmic,active
hubag,hupag,algorithmic,active
gahabok,gahabbok,algorithmic,active
habok,habbok,algorithmic,active
gahabok,gaahbok,algorithmic,active
habok,ahbok,algorithmic,active
dalunggan,dalungkan,algorithmic,active
gadugo,kadugo,algorithmic,active
gahabok,kahabok,algorithmic,active
gahika,kahika,algorithmic,active
gahubag,kahubag,algorithmic,active
gakitol,kakitol,algorithmic,active
galagas,kalagas,algorithmic,active
galuya,kaluya,algorithmic,active
gapula,kapula,algorithmic,active
gasakit,kasakit,algorithmic,active
ngabil,nkabil,algorithmic,active
abaga,abagha,algorithmic,active
dalunggan,dalungghan,algorithmic,active
gadugo,ghadugo,algorithmic,active
gahabok,ghahabok,algorithmic,active
gahika,ghahika,algorithmic,active
gahubag,ghahubag,algorithmic,active
gakatol,ghakatol,algorithmic,active
gakitol,ghakitol,algorithmic,active
galagas,ghalagas,algorithmic,active
galuya,ghaluya,algorithmic,active
gapula,ghapula,algorithmic,active
gasakit,ghasakit,algorithmic,active
ginkagat,ginkaghat,algorithmic,active
nagadugo,naghadugo,algorithmic,active
nagalagas,naghalagas,algorithmic,active
namaga,namagha,algorithmic,active
ngabil,nghabil,algorithmic,active
abaga,abaqa,algorithmic,active
dalunggan,dalungqan,algorithmic,active
gadugo,qadugo,algorithmic,active
gahabok,qahabok,algorithmic,active
gahika,qahika,algorithmic,active
gahubag,qahubag,algorithmic,active
gakatol,qakatol,algorithmic,active
gakitol,qakitol,algorithmic,active
galagas,qalagas,algorithmic,active
galuya,qaluya,algorithmic,active
gapula,qapula,algorithmic,active
gasakit,qasakit,algorithmic,active
ginkagat,ginkaqat,algorithmic,active
nagadugo,naqadugo,algorithmic,active
nagalagas,naqalagas,algorithmic,active
namaga,namaqa,algorithmic,active
ngabil,nqabil,algorithmic,active
ginabaldom,kinabaldom,algorithmic,active
